,STATEFP,COUNTYFP,GEOID,node_density_km,street_density_km,circuity_avg,street_length_total,street_segment_count,streets_per_node_avg,orientation_entropy
0,06,107,6107,5.6486637997815174,1606.7364350222654,1.155305131335938,20134183.20648062,96481,2.7274242766726946,2.7316580208901358
1,06,109,6109,2.6298623997412975,1331.9173757949486,1.2909775790705014,7846062.207606427,18973,2.454557190808159,3.576102810854659
2,05,111,5111,2.818185736438623,1554.8495290925116,1.0773292885610828,3075287.4670758634,6933,2.5098672407606744,2.9452375001223117
3,05,145,5145,9.713206469922765,1918.685426231348,1.0829353483762385,5178147.908105621,32265,2.4638361181048296,2.9479773498958246
4,05,121,5121,2.4075578905759665,1176.6954321940925,1.090938506373968,1998990.0706073935,4942,2.43398533007335,3.2829135389151944
5,05,119,5119,49.12466540403492,5552.781355914822,1.1231792231989186,11611693.752161609,141811,2.760491399534689,3.1961367759365236
6,06,101,6101,9.446707441404634,2551.7123033992557,1.0967416700259762,4020955.4052574057,20002,2.689036678758565,2.858809865984637
7,05,143,5143,19.00622531724997,3148.5303217830474,1.1308056219669835,7765045.812085146,61411,2.6200452276315227,3.0487426447017656
8,05,9,5009,8.731550026020354,1988.3934534570221,1.126246904656019,3100250.058087544,16441,2.419861906860585,3.344806999869727
9,06,11,6011,3.436126880577348,1646.210692546159,1.1542928956674334,4930305.202858522,14258,2.782042561461471,3.169252351982987
10,06,29,6029,6.837978616480787,2233.5545343610547,1.1061686406417972,47233064.688703984,202364,2.7995961356265084,2.9745078656382327
11,05,31,5031,11.11621702101539,2428.7835938813914,1.0850448216478608,4483198.777842867,26489,2.586480822652176,2.8934597342344937
12,05,7,5007,30.852786683509212,4848.162738126739,1.1563418227257163,11104668.368937485,95358,2.6991707703628234,3.1074636458569134
13,06,27,6027,0.9678320798171984,587.2668874351498,1.125405862517292,15555564.069679404,34416,2.692580745826182,3.5130469529302
14,06,73,6073,54.723844043828365,4755.912782363822,1.1335512246797579,55746819.463266894,827695,2.578517421466989,3.42073934226728
15,06,87,6087,41.94619339188759,5096.7734221621495,1.2102545471780577,8014871.941578367,87271,2.646038628301143,3.5659238461454
16,05,53,5053,5.071734204044115,1612.3504509838801,1.093499313551489,2643414.1578714224,9677,2.3367408298256165,3.301684232940008
17,05,65,5065,3.3002921429721885,1351.2690806495425,1.1171390785007536,2043511.2072982017,5878,2.3652574634341814,3.4084201390909943
18,05,91,5091,3.960423398172701,1455.7540670288117,1.0800758938259658,2406515.8995967587,8323,2.564838857491981,2.9665340837660032
19,06,89,6089,5.093775833310418,1584.0052170201463,1.2425428183653733,15784152.942053685,66044,2.6039048031837346,3.4602442792487387
20,06,45,6045,2.8352190474244012,1490.4125736418,1.3612467131254842,14970261.049398834,35506,2.495435072687689,3.478296386935776
21,06,19,6019,9.589324099116528,2209.862739986409,1.1265530349360586,34406001.27882085,209971,2.8106551282995866,2.8529934528436947
22,05,1,5001,2.188579236753969,1242.5369174095695,1.0749979927739424,3342834.130400729,7603,2.592900815217391,2.6334760683089646
