,STATEFP,COUNTYFP,GEOID,node_density_km,street_density_km,circuity_avg,street_length_total,street_segment_count,streets_per_node_avg,orientation_entropy
20,22,17,22017,16.70600190066101,2896.0908048050633,1.0911977120634677,7028558.136664077,53595,2.6445836621941594,3.210796107946003
21,22,19,22019,10.595042688292748,2132.4952913933485,1.0876434116320328,6043219.740382432,40984,2.7305911740216486,2.561886619520399
22,08,123,8123,9.449960882275372,1883.854670627399,1.1049402730485365,19598349.54146992,136100,2.771754940952691,2.9684872240597064
23,08,101,8101,6.569208912945306,1479.4952084401234,1.1091263539388085,9187938.353518123,56569,2.774193548387097,3.1702334222374087
24,22,3,22003,1.898957446412121,862.7739913337648,1.076760157415985,1711956.4240304164,4838,2.5881104033970277,3.0231246663482114
25,22,61,22061,7.698028434755681,1954.155116730049,1.0861844557451967,2390772.2666066918,12300,2.6182841367593968,3.104341104197723
26,22,95,22095,4.457942517307475,793.4493062739863,1.0901612507052518,842583.5464046603,6355,2.6846218842416563,3.4923183761643033
27,22,57,22057,2.7518822675564674,670.8763602194483,1.0676175365533231,2551487.056272719,13252,2.5379323523791326,3.54926735710131
28,22,33,22033,65.88470509907935,6712.03628356717,1.1041576031573577,8176526.423074614,106642,2.6544480438574634,3.3829523515405326
29,08,107,8107,1.7671989070767606,826.9160827302826,1.2595711288376419,5071836.217655728,13381,2.4747670449303443,3.535595545584319
30,22,5,22005,30.00562321086338,3462.77054281373,1.0952085925616593,2714764.951779394,27924,2.3733633735759225,3.0985739921320636
31,22,69,22069,2.8415015769073486,1160.0708620817477,1.11619284326849,3904596.715735555,11899,2.4972814721873693,3.5242945627185005
32,22,51,22051,24.062752317437184,2864.3753491179355,1.0804819277781044,4763056.5835647015,58359,2.9148276810036737,3.3244090564947077
33,22,67,22067,1.724303919428246,1007.8415416020486,1.086300218121915,2104170.563487696,4564,2.5452777777777778,3.184061725063472
34,22,93,22093,7.014010659069343,1713.684919426807,1.0664215191198605,1122176.0583939126,5617,2.4528630524711517,3.3998589069829217
35,22,115,22115,3.985507919078194,1756.273203719666,1.0948693812755934,6096598.041406341,17440,2.527574990964944,3.45169468730996
36,08,81,8081,0.6482050247939788,798.6199189876345,1.1433924740577803,9826817.488602322,10384,2.6246238716148445,3.504877846802582
37,08,75,8075,2.7942913428814493,1360.3634749446833,1.0827511068259912,6500243.134537035,17551,2.6375074895146793,3.0391069477337984
38,08,43,8043,2.846145391661894,1122.0063295711723,1.2079332983716782,4459806.460915528,14478,2.5654556704676037,3.3527963834075822
