GEOID,count
48225,7
48227,10
48231,19
48233,7
48241,8
48245,72
48249,7
48251,28
48253,6
48255,4
48257,18
48259,6
48265,10
48273,5
48279,5
48277,12
48281,5
48285,6
48287,4
48291,14
48293,8
48297,4
48299,6
48303,68
48309,51
48313,4
48315,4
48321,10
48323,9
48325,8
48329,27
48331,7
48337,6
48339,59
48341,4
48347,13
48349,10
48351,4
48353,5
48355,81
48361,21
48363,9
48365,6
48367,19
48371,4
48373,10
48375,34
48381,29
48387,4
48389,5
48395,5
48397,11
48399,4
48401,13
48407,4
48409,16
48415,4
48419,6
48423,41
48427,15
48439,357
48441,38
48449,8
48451,25
48453,218
48455,5
48457,5
48459,7
48463,5
48465,10
48469,23
48467,10
48471,10
48473,6
48477,6
48479,61
48481,11
48485,37
48487,4
48489,5
48491,89
48493,11
48497,11
48499,10
48503,4
48507,4
49003,11
49005,26
49007,5
49011,54
49021,8
49035,212
49037,4
49039,5
49041,5
49043,13
49047,6
49045,11
49049,128
49051,4
49053,21
49057,50
50001,10
50003,12
50005,10
50007,35
50015,7
50011,10
50017,10
50019,10
50021,20
50023,19
50025,18
50027,18
51001,11
51003,22
51005,6
51009,9
51013,59
51015,13
51023,8
51027,7
51025,5
51029,4
51033,7
51031,12
51035,7
51041,71
51047,8
51051,4
51059,258
51061,17
51065,4
51067,10
51069,14
51071,4
51075,5
51073,8
51077,5
51083,9
51085,23
51087,64
51089,14
51093,8
51095,11
51099,5
51105,6
51101,4
51107,65
51109,6
51117,9
51119,4
51121,16
51135,4
51137,5
51139,5
51141,4
51143,16
51145,5
51147,5
51149,7
51153,83
51161,18
51163,4
51167,7
51165,19
51169,6
51171,9
51173,9
51175,5
51177,30
51179,27
51183,5
51185,11
51187,8
51191,13
51193,4
51195,11
51197,6
51199,14
51510,38
51520,4
51540,12
51550,41
51570,5
51590,16
51630,6
51600,5
51650,33
51660,11
51670,7
51680,19
51683,7
51690,5
51700,44
51710,80
51730,11
51735,4
51740,31
51760,66
51770,23
51775,5
51790,6
51800,28
51810,100
51820,5
51840,5
53001,5
53003,6
53005,37
53007,14
53009,22
53011,104
53015,24
53021,13
53017,8
53025,16
53027,16
53029,22
53031,7
53033,397
53035,55
53037,8
53041,20
53043,4
53045,14
53047,10
53049,8
53051,5
53053,172
53055,5
53057,30
53059,5
53061,150
53063,105
53065,12
53067,50
53071,12
53073,34
53075,10
53077,45
54001,4
54003,14
54005,8
54009,6
54011,29
54019,12
54025,7
54027,5
54029,8
54035,6
54033,22
54037,15
54039,53
54041,5
54043,5
54045,9
54047,8
54049,18
54051,9
