src_state,tar_geoid,src_moran,tar_moran,moran_shift
24,34019,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.04899203],-0.2018704768362495
24,34021,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.02020148],0.16451111023277729
24,34023,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[0.00018554],0.42395134827537595
24,34025,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[0.0013935],0.4393235235694455
24,34027,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[0.00704834],0.5112855606555049
24,34029,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.00441663],0.3653851587364082
24,34031,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.01818112],0.19022167504827026
24,34033,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[0.06710218],1.2755161591276873
24,34035,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.00585429],0.34708988628479864
24,34037,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[0.00019775],0.424106726262048
24,34039,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.02090516],0.1555562223963469
24,34041,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.01082977],0.2837731562650144
24,35001,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[0.02046888],0.6820721631559311
24,35005,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.03137917],0.022266536502801703
24,35006,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[0.15292752],2.3677084542302214
24,35009,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.14750632],-1.4555391888017921
24,35013,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.02540759],0.09825937177431825
24,35015,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.20082789],-2.1340965126013804
24,35017,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.06591256],-0.41719702005614734
24,35025,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[0.0855762],1.5106119037609425
24,35027,"[-0.08034058  0.01548031  0.01287814 -0.1217746  -0.05796213 -0.00924141
  0.09143516  0.0036237   0.19150937 -0.00550781 -0.18126153 -0.05646266
 -0.02685548 -0.14226176  0.01308495 -0.00614229 -0.03244498 -0.10168814
 -0.0608199  -0.14040031 -0.04923313 -0.09075034  0.04060363 -0.00056157]",[-0.51884455],-6.181098752708976
