src_state,tar_geoid,src_moran,tar_moran,moran_shift
28,34019,"[-0.05682702  0.04573959 -0.21535098 -0.23406069 -0.35508743 -0.20565392
 -0.35205059 -0.15490961 -0.13333761 -0.03470971 -0.25818403 -0.03104267
 -0.05145253 -0.25863971 -0.24611004 -0.17542573 -0.01217042  0.00844712
 -0.33712491 -0.21620014 -0.01657175 -0.24306374 -0.13941836 -0.08259814
 -0.1559729  -0.06101629 -0.31030801 -0.08570643 -0.22069447 -0.14667102
 -0.08734344  0.17458886 -0.19234647 -0.26098721 -0.20337596 -0.30032241
  0.00485762 -0.14402632 -0.149238   -0.02872674 -0.20880568 -0.1352581
 -0.35921021 -0.06438704 -0.0609176  -0.18222786 -0.13562451 -0.6474762
 -0.17035936 -0.19058743 -0.46044007 -0.10819204 -0.10776318 -0.00997574
 -0.45950922 -0.13118093 -0.01535401]",[-0.04899203],0.8323642418332172
28,34021,"[-0.05682702  0.04573959 -0.21535098 -0.23406069 -0.35508743 -0.20565392
 -0.35205059 -0.15490961 -0.13333761 -0.03470971 -0.25818403 -0.03104267
 -0.05145253 -0.25863971 -0.24611004 -0.17542573 -0.01217042  0.00844712
 -0.33712491 -0.21620014 -0.01657175 -0.24306374 -0.13941836 -0.08259814
 -0.1559729  -0.06101629 -0.31030801 -0.08570643 -0.22069447 -0.14667102
 -0.08734344  0.17458886 -0.19234647 -0.26098721 -0.20337596 -0.30032241
  0.00485762 -0.14402632 -0.149238   -0.02872674 -0.20880568 -0.1352581
 -0.35921021 -0.06438704 -0.0609176  -0.18222786 -0.13562451 -0.6474762
 -0.17035936 -0.19058743 -0.46044007 -0.10819204 -0.10776318 -0.00997574
 -0.45950922 -0.13118093 -0.01535401]",[-0.02020148],1.0400260561421273
28,34023,"[-0.05682702  0.04573959 -0.21535098 -0.23406069 -0.35508743 -0.20565392
 -0.35205059 -0.15490961 -0.13333761 -0.03470971 -0.25818403 -0.03104267
 -0.05145253 -0.25863971 -0.24611004 -0.17542573 -0.01217042  0.00844712
 -0.33712491 -0.21620014 -0.01657175 -0.24306374 -0.13941836 -0.08259814
 -0.1559729  -0.06101629 -0.31030801 -0.08570643 -0.22069447 -0.14667102
 -0.08734344  0.17458886 -0.19234647 -0.26098721 -0.20337596 -0.30032241
  0.00485762 -0.14402632 -0.149238   -0.02872674 -0.20880568 -0.1352581
 -0.35921021 -0.06438704 -0.0609176  -0.18222786 -0.13562451 -0.6474762
 -0.17035936 -0.19058743 -0.46044007 -0.10819204 -0.10776318 -0.00997574
 -0.45950922 -0.13118093 -0.01535401]",[0.00018554],1.1870744680660354
28,34025,"[-0.05682702  0.04573959 -0.21535098 -0.23406069 -0.35508743 -0.20565392
 -0.35205059 -0.15490961 -0.13333761 -0.03470971 -0.25818403 -0.03104267
 -0.05145253 -0.25863971 -0.24611004 -0.17542573 -0.01217042  0.00844712
 -0.33712491 -0.21620014 -0.01657175 -0.24306374 -0.13941836 -0.08259814
 -0.1559729  -0.06101629 -0.31030801 -0.08570643 -0.22069447 -0.14667102
 -0.08734344  0.17458886 -0.19234647 -0.26098721 -0.20337596 -0.30032241
  0.00485762 -0.14402632 -0.149238   -0.02872674 -0.20880568 -0.1352581
 -0.35921021 -0.06438704 -0.0609176  -0.18222786 -0.13562451 -0.6474762
 -0.17035936 -0.19058743 -0.46044007 -0.10819204 -0.10776318 -0.00997574
 -0.45950922 -0.13118093 -0.01535401]",[0.0013935],1.1957872798560005
28,34027,"[-0.05682702  0.04573959 -0.21535098 -0.23406069 -0.35508743 -0.20565392
 -0.35205059 -0.15490961 -0.13333761 -0.03470971 -0.25818403 -0.03104267
 -0.05145253 -0.25863971 -0.24611004 -0.17542573 -0.01217042  0.00844712
 -0.33712491 -0.21620014 -0.01657175 -0.24306374 -0.13941836 -0.08259814
 -0.1559729  -0.06101629 -0.31030801 -0.08570643 -0.22069447 -0.14667102
 -0.08734344  0.17458886 -0.19234647 -0.26098721 -0.20337596 -0.30032241
  0.00485762 -0.14402632 -0.149238   -0.02872674 -0.20880568 -0.1352581
 -0.35921021 -0.06438704 -0.0609176  -0.18222786 -0.13562451 -0.6474762
 -0.17035936 -0.19058743 -0.46044007 -0.10819204 -0.10776318 -0.00997574
 -0.45950922 -0.13118093 -0.01535401]",[0.00704834],1.2365747203554072
28,34029,"[-0.05682702  0.04573959 -0.21535098 -0.23406069 -0.35508743 -0.20565392
 -0.35205059 -0.15490961 -0.13333761 -0.03470971 -0.25818403 -0.03104267
 -0.05145253 -0.25863971 -0.24611004 -0.17542573 -0.01217042  0.00844712
 -0.33712491 -0.21620014 -0.01657175 -0.24306374 -0.13941836 -0.08259814
 -0.1559729  -0.06101629 -0.31030801 -0.08570643 -0.22069447 -0.14667102
 -0.08734344  0.17458886 -0.19234647 -0.26098721 -0.20337596 -0.30032241
  0.00485762 -0.14402632 -0.149238   -0.02872674 -0.20880568 -0.1352581
 -0.35921021 -0.06438704 -0.0609176  -0.18222786 -0.13562451 -0.6474762
 -0.17035936 -0.19058743 -0.46044007 -0.10819204 -0.10776318 -0.00997574
 -0.45950922 -0.13118093 -0.01535401]",[-0.00441663],1.153879674424481
28,34031,"[-0.05682702  0.04573959 -0.21535098 -0.23406069 -0.35508743 -0.20565392
 -0.35205059 -0.15490961 -0.13333761 -0.03470971 -0.25818403 -0.03104267
 -0.05145253 -0.25863971 -0.24611004 -0.17542573 -0.01217042  0.00844712
 -0.33712491 -0.21620014 -0.01657175 -0.24306374 -0.13941836 -0.08259814
 -0.1559729  -0.06101629 -0.31030801 -0.08570643 -0.22069447 -0.14667102
 -0.08734344  0.17458886 -0.19234647 -0.26098721 -0.20337596 -0.30032241
  0.00485762 -0.14402632 -0.149238   -0.02872674 -0.20880568 -0.1352581
 -0.35921021 -0.06438704 -0.0609176  -0.18222786 -0.13562451 -0.6474762
 -0.17035936 -0.19058743 -0.46044007 -0.10819204 -0.10776318 -0.00997574
 -0.45950922 -0.13118093 -0.01535401]",[-0.01818112],1.0545985748628517
28,34033,"[-0.05682702  0.04573959 -0.21535098 -0.23406069 -0.35508743 -0.20565392
 -0.35205059 -0.15490961 -0.13333761 -0.03470971 -0.25818403 -0.03104267
 -0.05145253 -0.25863971 -0.24611004 -0.17542573 -0.01217042  0.00844712
 -0.33712491 -0.21620014 -0.01657175 -0.24306374 -0.13941836 -0.08259814
 -0.1559729  -0.06101629 -0.31030801 -0.08570643 -0.22069447 -0.14667102
 -0.08734344  0.17458886 -0.19234647 -0.26098721 -0.20337596 -0.30032241
  0.00485762 -0.14402632 -0.149238   -0.02872674 -0.20880568 -0.1352581
 -0.35921021 -0.06438704 -0.0609176  -0.18222786 -0.13562451 -0.6474762
 -0.17035936 -0.19058743 -0.46044007 -0.10819204 -0.10776318 -0.00997574
 -0.45950922 -0.13118093 -0.01535401]",[0.06710218],1.6697338043003598
28,34035,"[-0.05682702  0.04573959 -0.21535098 -0.23406069 -0.35508743 -0.20565392
 -0.35205059 -0.15490961 -0.13333761 -0.03470971 -0.25818403 -0.03104267
 -0.05145253 -0.25863971 -0.24611004 -0.17542573 -0.01217042  0.00844712
 -0.33712491 -0.21620014 -0.01657175 -0.24306374 -0.13941836 -0.08259814
 -0.1559729  -0.06101629 -0.31030801 -0.08570643 -0.22069447 -0.14667102
 -0.08734344  0.17458886 -0.19234647 -0.26098721 -0.20337596 -0.30032241
  0.00485762 -0.14402632 -0.149238   -0.02872674 -0.20880568 -0.1352581
 -0.35921021 -0.06438704 -0.0609176  -0.18222786 -0.13562451 -0.6474762
 -0.17035936 -0.19058743 -0.46044007 -0.10819204 -0.10776318 -0.00997574
 -0.45950922 -0.13118093 -0.01535401]",[-0.00585429],1.1435100772485693
28,34037,"[-0.05682702  0.04573959 -0.21535098 -0.23406069 -0.35508743 -0.20565392
 -0.35205059 -0.15490961 -0.13333761 -0.03470971 -0.25818403 -0.03104267
 -0.05145253 -0.25863971 -0.24611004 -0.17542573 -0.01217042  0.00844712
 -0.33712491 -0.21620014 -0.01657175 -0.24306374 -0.13941836 -0.08259814
 -0.1559729  -0.06101629 -0.31030801 -0.08570643 -0.22069447 -0.14667102
 -0.08734344  0.17458886 -0.19234647 -0.26098721 -0.20337596 -0.30032241
  0.00485762 -0.14402632 -0.149238   -0.02872674 -0.20880568 -0.1352581
 -0.35921021 -0.06438704 -0.0609176  -0.18222786 -0.13562451 -0.6474762
 -0.17035936 -0.19058743 -0.46044007 -0.10819204 -0.10776318 -0.00997574
 -0.45950922 -0.13118093 -0.01535401]",[0.00019775],1.1871625349224353
