src_state,tar_geoid,mi_shift,moran_shift
32,34019,0.011421892803921956,0.7587752916074196
32,34021,0.010662965591932657,0.5440272911827092
32,34023,0.014756282130633501,0.35803357000686603
32,34025,0.015325905043558151,0.31311543009340853
32,34027,0.024406235117706884,0.4078443381520974
32,34029,0.017067308740527237,0.47589025715203315
32,34031,0.012813070622831341,0.4186300750332013
32,34033,0.00603066748440491,1.026159334712037
32,34035,0.01536150134446308,0.37039694419012437
32,34037,0.010458256822581852,0.5796672814294032
32,34039,0.014323148776721606,0.41578847183602613
32,34041,0.007707328923274931,0.8090511032186956
32,35001,0.011327680821743591,0.3734205767390758
32,35005,0.0031861636606036942,0.7465509175590122
32,35006,0.002182700679665133,2.2326462703958674
32,35009,0.002145050612104991,0.8132506728117085
32,35013,0.007926375387370442,0.6519929987810555
32,35015,0.0035326059384725283,1.2769461207242196
32,35017,0.003278546514036635,1.5002771171231082
32,35025,0.005117357555946256,0.8242634071075533
32,35027,0.0020855609624154353,2.9435672590903907
32,35029,0.0017147201392479735,1.4434262874228563
32,35028,0.001802845300122698,2.624772277331016
32,35031,0.006702554467069274,0.8585081456628165
32,35035,0.0031454489228509956,0.7082863063420527
32,35039,0.0034259649999192144,1.2406310990400133
32,35041,0.0016983370596003206,2.1111213322303675
32,35043,0.0030878114700227267,0.5893708874715063
32,35047,0.002849201383700298,1.4069046987964402
32,35045,0.00539683525928605,0.7087951299721771
32,35049,0.010664323474559182,0.5692716841662868
32,35051,0.0023097182827764647,2.8677195505659614
32,35053,0.0021189090075934757,1.767544305644396
32,35057,0.0009654808933431478,2.4970873165210987
32,35055,0.0026475211251920337,1.546098441636582
32,35061,0.0045891586784139755,0.7628014957150834
32,36001,0.013257413878405185,0.4683926370407783
32,36003,0.005453037895853495,0.8058874608469484
32,36005,0.02927718586197939,0.35875275710576054
32,36007,0.01040672357522161,0.40369585365599325
32,36009,0.005555766718104926,0.7895480815984829
32,36011,0.007308160118539286,0.9791126754301859
32,36015,0.004318782527895398,0.7366028707546658
32,36013,0.010706147130906197,0.7137166094949606
32,36017,0.006221205257267036,1.4723088373988025
32,36019,0.0041176975668425955,1.0616521443731846
32,36021,0.008671263857814611,0.9644785784572857
32,36023,0.0028292156051574063,0.9689799441341509
32,36025,0.006766395832083599,1.374720342274434
32,36027,0.010883857264557756,0.4467600775585831
32,36029,0.015599722841827411,0.3309867530698505
32,36033,0.004254607572637557,0.9809407173539025
32,36031,0.0053289577712343356,1.0406035146504993
32,36035,0.004553282055428511,0.9480419664664989
32,36037,0.004606900129635875,0.8816339525637057
32,36039,0.004247843623376452,1.1397397064347194
32,36041,0.0031395693634019245,2.613789206274419
32,36043,0.006851323738062053,0.8031048395339572
32,36045,0.005726958403790835,0.6952705436781889
32,36047,0.03148824743621672,0.39299752350215705
32,36049,0.004085111805818077,1.4309694669455644
32,36051,0.003067546114083857,1.1094274777668491
32,36055,0.012704101870572443,0.4480534711861735
32,36057,0.004616979021981562,0.9947377916236185
32,36059,0.039620881708345435,0.2731844401061697
32,36061,0.06790759580092978,0.40887065581025644
32,36063,0.008274899603329097,0.5192448327587472
32,36067,0.013203485679260045,0.39780528409461635
32,36069,0.005810313881997114,0.7312910985707699
32,36071,0.013142253927479362,0.6074914239738108
32,36073,0.0028245860390397103,1.7830873341748235
32,36075,0.007012105934629366,0.7523111460644707
32,36077,0.006111832249015818,1.7704488465525685
32,36079,0.00824761901886579,0.7819355172597955
32,36081,0.028304621724029526,0.37530389714274365
32,36083,0.0074388833385206484,0.7679213224687704
32,36085,0.01290016518656218,0.3793107321026849
32,36087,0.012827034660526714,0.5924205882162054
32,36089,0.006651402012611561,0.9742379548583642
32,36091,0.009716356625569142,0.5106054486050476
32,36093,0.006953745885836444,0.3972642517287937
32,36095,0.0030147469186154073,1.3581892991704902
32,36097,0.002314860213468667,1.5962933171676763
32,36099,0.00416251161620473,1.078424377274715
32,36101,0.009194114202871978,0.8658532879814932
32,36103,0.023363585288009886,0.39403977888619496
32,36105,0.005420435877721656,0.622610091554494
32,36107,0.004148798506580788,1.1159040795380124
32,36109,0.00994609513336119,0.8698499153896558
32,36111,0.01008596414715214,0.4959094435555137
32,36113,0.005918455453759021,1.0130920582682308
32,36115,0.005901676290420464,1.065595859072911
32,36117,0.006524093964573465,0.7824162769208597
32,36119,0.01934110365411969,0.3141822685060929
32,36121,0.004696246828987719,0.9501815726690865
32,36123,0.0030735697125793184,1.6877585853094772
32,37001,0.005935879015934527,0.5182538657480524
32,37003,0.002720861553000092,1.3323507085325634
32,37007,0.0019227628555130902,1.3545060698645968
32,37009,0.0029884902946249394,1.556789669174123
32,37011,0.0021856348193672213,1.66470804349578
32,37013,0.0031009400932226596,0.9131160538847264
32,37015,0.0016883172054809718,2.5100083607418417
32,37017,0.0032176694483665677,1.5559944646852009
32,37019,0.008872317661570308,0.821541329095032
32,37021,0.010196187175369633,0.38658553495599846
32,37023,0.006206482645433398,0.7206459584371656
32,37025,0.005712984132904557,0.5162312474051629
32,37027,0.006348728293958225,0.6558595474467858
32,37031,0.011770477633403739,0.5294705820868626
32,37033,0.002479508237550479,1.3648249118456262
32,37035,0.007468300442012351,0.6779962814260303
32,37037,0.004184238687195195,1.3020640863821402
32,37039,0.0034728744790035117,1.3485845768253446
32,37047,0.00503570273059357,0.7900389541563064
32,37045,0.007060810868875991,0.6174326224321838
32,37049,0.00365707631921543,0.8760363509310475
32,37051,0.013301404537792596,0.7225979828435981
32,37053,0.0014008750554333615,1.1878504608536944
32,37055,0.0031215243728212458,1.622513876173274
32,37059,0.0028818093583522744,1.3043129203435775
32,37057,0.008818186972992952,0.5854313186421913
32,37061,0.003572868176582533,0.8731392815868504
32,37063,0.011388257983658282,0.3695751232463729
32,37065,0.005105625299347484,1.0884201736684243
32,37069,0.003492647391509447,0.8436914439072614
32,37067,0.007584711228409361,0.3492037020789951
32,37071,0.011229175865849303,0.4362169030639047
32,37077,0.0031721169212564266,0.9567174385931055
32,37079,0.0015853457116267364,2.4205391170627055
32,37081,0.008248753405558884,0.25810835666983606
32,37083,0.005378719330078785,1.0765555621198066
32,37085,0.005457192197054834,0.9085415373609959
32,37087,0.004666024823725819,0.7033765689774809
32,37089,0.0060950910154584665,0.5883339722916221
32,37091,0.0016074505911310073,1.5859709168905607
32,37093,0.0017999627752759437,0.969143674568887
32,37097,0.007214244982184807,0.5079963533526571
32,37099,0.0028474482863769914,1.0728854692105365
32,37101,0.01149055111096433,0.6770338230664791
32,37105,0.0024289490064919005,0.7761242363377536
32,37107,0.0037279899329233563,0.9444513831171155
32,37109,0.00550808619685508,0.9273989525254646
32,37111,0.004375086374319322,1.0592612751324553
32,37113,0.004949834727787566,1.1618790003801929
32,37115,0.0026092414503267073,1.5104327217995672
32,37117,0.0026012859821190437,1.4608961090773687
32,37119,0.015370926030010298,0.2608680063592495
32,37123,0.0015817960401777204,1.557097083210684
32,37121,0.0018288547082375764,2.452390777572655
32,37125,0.005561663735194387,0.8148204956201426
32,37127,0.00559533540351766,0.767300240367066
32,37129,0.005649384578144346,0.39368834350979226
32,37131,0.0027070922677160246,2.1267384102988274
32,37133,0.013214951488414424,0.5508656560381816
32,37137,0.0016628610987475846,2.5165741320456836
32,37135,0.009346926741096571,0.7611413712695779
32,37139,0.0021632283844893515,1.0826496935899397
32,37141,0.0030015626832797676,0.9343853659286138
32,37145,0.0026647173529561847,1.4152284294092399
